string_id,vi,en
command_help,Các lệnh {0}osu:#- `{0}osu user <tên người chơi>` hoặc `/osu_user <tên người chơi>`: Lấy thông tin người dùng nào đó#- `{0}osu beatmap <tên beatmap>` hoặc `/osu_beatmap <tên beatmap>`: Tìm beatmap theo tên,{0}osu commands:#- `{0}osu user <user name>` or `/osu_user <user name>`: Get a osu! player's info#- `{0}osu beatmap <beatmap name>` or `/osu_beatmap <beatmap name>`: Find a beatmap by name
user_info_template,https://osu.ppy.sh/users/{0}#Tên người chơi: **{1}**#Quốc gia: **{2}**#Avatar: {3}#Global rank (osu!standard): **\#{4}**#Rank cao nhất đã đạt được: **\#{5}** vào <t:{6}>#Đang {7}#Đã chơi **{8} [{9}] ** {10} lần!,https://osu.ppy.sh/users/{0}#Username: **{1}**#Country: **2**#Avatar: {3}#Global rank (osu!standard): **\#{4}**#Highest rank: **\#{5}** on <t:{6}>#Currently {7}#Played **{8} [{9}]** {10} times!
status_online,**trực tuyến** 🟢,**online** 🟢
status_offline,**ngoại tuyến** 🔴,**offline** 🔴
prompt_error,Đã có lỗi xảy ra!,An error has occurred
osu_cmd_desc,Một số lệnh liên quan đến game osu!,
osu_cmd_usage,"Một số lệnh liên quan đến game osu! sử dụng osu!api. Vui lòng xem hướng dẫn chi tiết của các lệnh con. Lưu ý: Mấy lệnh này được làm từ giai đoạn đầu của quá trình phát triển con bot, chủ yếu là để test cái api nên chất lượng của nó khá...",
osu_user_cmd_desc,Tìm profile của người chơi osu! theo tên,
osu_user_cmd_usage,Dùng lệnh này để tìm profile của một người chơi osu! nào đó theo tên người dùng.,
osu_user_param_username_desc,Tên người dùng bạn muốn tìm,
osu_beatmap_cmd_desc,Tìm beatmap theo tên,
osu_beatmap_cmd_usage,Dùng lệnh này để tìm một beatmap nào đó theo tên,
osu_beatmap_param_beatmap_desc,Tên beatmap muốn tìm,
